Standard Work Content Title Name,Standard Work Content ID,Standard Work Content UID,Asset Family Name,File code associated,Maintenance Task ID
"Telemetry Memory Gamma Ray Tool (TMG-BA) Maintenance SWI - SLS-1",	173837,	0003640003,"wl_TMG-BA",TMG-BA,MXT236029
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_PGSB",EQ-101012057|EQ-101124248|EQ-100235904|EQ-P696420,I4250027411060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-SAN-TBSW-35",EQ-44860-000-00001|EQ-44859-000-00006|EQ-103145184|EQ-44859-000-00002|EQ-44859-000-00004,I4250025611060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_HDVS",EQ-101742382,I4250028911060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_QMCM-H-VS-N-1",EQ-101095194,I4250027011060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-PRODUCT PILOT",EQ-103175909|EQ-103118678|EQ-103157920|EQ-103226512|EQ-51004-007-N|EQ-103481963|EQ-EZRD372801001LE|EQ-103093995|EQ-102934886|EQ-102713020|EQ-80040431|EQ-104444240|EQ-80015964|EQ-103233978|EQ-TSN4491005003LE|EQ-103132448|EQ-103159210|EQ-103333873|EQ-103154835|EQ-EZRD162601001LE|EQ-103132584|EQ-103132462|EQ-103143860|EQ-HPS371191900LE|EQ-46200-010-D-LE|EQ-103118701|EQ-103662252|EQ-LC45601003LE|EQ-103303329|EQ-HPS374791900LE|EQ-103197184|EQ-80064571|EQ-103203639|EQ-104229671|EQ-103159195|EQ-103154836|EQ-90003104|EQ-103162879,I4250022811060|I4250022011060|I4250025311060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-BSCS",EQ-BCS07003005|EQ-103690884|EQ-103339810|EQ-104196485|EQ-BCS07001005|EQ-BCS04006005|EQ-103469722|EQ-80059501|EQ-BCS05502005|EQ-103402752|EQ-BCP70000|EQ-103452100|EQ-BCS04099001|EQ-BCS07001117|EQ-80059552,I4250023211060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-PK-MSET-TXT-DNL-96",EQ-61596-XBEE-DNL,I4250025711060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-RT-5CRT",EQ-71000300|EQ-103479456|EQ-80063116|EQ-80064745|EQ-71000375,I4250026011060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-META-DL",EQ-103284748|EQ-103340108|EQ-103340075,I4250023011060|I4250023311060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ECCWPGC350",EQ-103340845|EQ-XMA-OMG-0077_OWM,I4250020911060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-RT-HEAT-ST",EQ-102834198|EQ-102838798|EQ-102741024|EQ-102905006,I4250028011060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_SSSV-WRDP",EQ-22671-000-00003|EQ-22498-000-KB300|EQ-23009-000-00001|EQ-103007915|EQ-103004898,I4250028111060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_IV-STC6-31",EQ-100710480,I4250026811060
"Straighten Shaft",	174940,	1c5062bc-fa9c-4169-98b8-9ab0d96f6b48,"cpl_ALT-LH-ME",EQ-ME6251440505|EQ-10120-155-2|EQ-10120-155-09|EQ-ME625011430505|EQ-ME375011441212|EQ-104381590|EQ-ME375011411212|EQ-ME6254840514|EQ-ME375010831212|EQ-ME37501411212|EQ-10120-137-B|EQ-10120-155-10|EQ-10120-137-D|EQ-ME37501P2031212|EQ-ME8001251616|EQ-10120-137-F|EQ-ME6252040505|EQ-10120-081-4|EQ-ME62501840505|EQ-ME6251402222|EQ-10120-137P-E|EQ-ME37501891212|EQ-ME6252780505|EQ-10120-137-A|EQ-ME37504361212|EQ-10120-156-1|EQ-10120-155-1|EQ-ME375012031212|EQ-ME625840505|EQ-ME625360505,I4250027211060
